Time,value
00:00:00,248.14545454545456
00:01:00,172.986301369863
00:02:00,170.39583333333334
00:03:00,217.8571428571429
00:04:00,192.51724137931035
00:05:00,166.73684210526315
00:06:00,246.44444444444449
00:07:00,178.28025477707007
00:08:00,226.8333333333333
00:09:00,214.68421052631572
00:10:00,168.24657534246575
00:11:00,273.3170731707317
00:12:00,172.62244897959184
00:13:00,231.1176470588236
00:14:00,280.7755102040816
00:15:00,193.35922330097088
00:16:00,205.6931818181818
00:17:00,230.74418604651163
00:18:00,187.8835616438356
00:19:00,178.46666666666667
00:20:00,185.11320754716985
00:21:00,174.40952380952382
00:22:00,153.33877551020407
00:23:00,181.4272727272728
00:24:00,123.86
00:25:00,213.05434782608697
00:26:00,157.22727272727272
00:27:00,153.56701030927834
00:28:00,160.7164948453608
00:29:00,187.63291139240508
00:30:00,259.30645161290323
00:31:00,170.87769784172662
00:32:00,167.22058823529412
00:33:00,158.2528735632184
00:34:00,205.08235294117648
00:35:00,228.35135135135133
00:36:00,214.9108910891089
00:37:00,169.90728476821192
00:38:00,235.2685185185185
00:39:00,158.80152671755727
00:40:00,202.8492063492064
00:41:00,216.41573033707863
00:42:00,245.873949579832
00:43:00,230.172131147541
00:44:00,212.8230769230769
00:45:00,208.7910447761194
00:46:00,299.45283018867923
00:47:00,250.44827586206893
00:48:00,194.8630136986301
00:49:00,251.58
00:50:00,185.013698630137
00:51:00,180.57142857142856
00:52:00,236.4255319148936
00:53:00,231.7037037037037
00:54:00,271.1090909090909
00:55:00,169.5632183908046
00:56:00,192.65591397849465
00:57:00,170.8684210526316
00:58:00,189.12048192771084
00:59:00,162.2403846153846
01:00:00,275.40579710144925
01:01:00,260.1358024691358
01:02:00,263.8469387755102
01:03:00,221.2698412698413
01:04:00,251.26666666666668
01:05:00,202.22727272727272
01:06:00,277.42028985507244
01:07:00,220.17094017094016
01:08:00,235.90983606557376
01:09:00,255.780701754386
01:10:00,278.7142857142857
01:11:00,228.361581920904
01:12:00,213.6581196581197
01:13:00,260.38775510204084
01:14:00,180.1095890410959
01:15:00,267.8101265822785
01:16:00,221.7593984962406
01:17:00,225.67391304347825
01:18:00,204.625
01:19:00,199.2236842105264
01:20:00,197.4339622641509
01:21:00,221.90217391304347
01:22:00,180.65420560747663
01:23:00,233.2058823529412
01:24:00,254.9264705882353
01:25:00,259.3809523809524
01:26:00,258.41333333333336
01:27:00,261.3793103448276
01:28:00,269.5595238095238
01:29:00,119.9061224489796
01:30:00,108.18840579710144
01:31:00,104.4141414141414
01:32:00,106.55038759689924
01:33:00,242.16129032258064
01:34:00,180.45525291828795
01:35:00,198.0407407407408
