Time,value
00:00:00,23.136387852956847
00:01:00,43.21391674263142
00:02:00,17.475645635828702
00:03:00,20.076119402985075
00:04:00,28.63264567499095
00:05:00,18.65200961868773
00:06:00,17.685400959561342
00:07:00,24.64076104482425
00:08:00,20.328676470588235
00:09:00,18.012043924902585
00:10:00,16.85207296849088
00:11:00,31.28786288912207
00:12:00,168.6191823899371
00:13:00,88.77461486939049
00:14:00,16.38867635807192
00:15:00,19.34387211367673
00:16:00,19.944504504504504
00:17:00,16.268662372110647
00:18:00,20.98648167911775
00:19:00,18.002253098009763
00:20:00,24.270432692307693
00:25:00,3515.0
00:26:00,206.0
00:27:00,18.80685920577617
00:28:00,25.03552397868561
00:29:00,26.543085329970577
00:30:00,29.17663366336633
00:31:00,23.32225656877898
00:32:00,28.201277955271564
00:33:00,11.109540321863609
00:34:00,11.5294545748595
00:35:00,13.363831531285374
00:36:00,12.737679567004436
00:37:00,11.830619509239623
00:38:00,12.6509253350351
00:39:00,13.489228602203994
00:40:00,12.47779758214507
00:41:00,13.119045639704048
00:42:00,13.541143484091188
00:43:00,12.474534421427077
00:44:00,12.839714803434964
00:45:00,13.01008119697108
00:46:00,12.932901874940516
00:47:00,12.899626194102174
00:48:00,13.366543272912944
00:49:00,21.797726196115583
00:50:00,21.748197981739548
00:51:00,22.888030888030887
00:52:00,22.639188069594034
00:53:00,18.220384615384614
00:54:00,25.90324936108069
00:55:00,18.70862643465384
00:56:00,19.991835147744947
00:57:00,20.35485197368421
00:58:00,51.76559139784946
00:59:00,24.82519631273472
01:00:00,29.356635071090047
01:01:00,19.95178459611772
01:02:00,18.858726549175667
01:03:00,19.94407677035076
01:04:00,21.3231850117096
01:05:00,20.730132987349982
01:06:00,20.7018288700196
01:07:00,23.18244457759137
01:08:00,33.02308892355694
01:09:00,25.073667205169627
01:10:00,29.89334637964775
01:11:00,25.36502609992543
01:12:00,22.71563727240272
01:13:00,21.97803138373752
01:14:00,24.95554854981085
01:15:00,38.43373890167708
01:16:00,21.4607908847185
01:17:00,21.878007455099965
01:18:00,21.808702175543885
01:19:00,21.70485584218513
01:20:00,23.75765036932817
01:21:00,24.14735294117647
01:22:00,23.622998544395923
01:23:00,52.99693042291951
01:24:00,20.85172921265637
01:25:00,33.591683168316834
01:26:00,25.8411214953271
01:27:00,25.31168316831684
01:28:00,23.15431296055484
01:29:00,26.64920353982301
01:30:00,25.480889506601805
01:31:00,21.602167676123685
01:32:00,25.72062740455756
01:33:00,20.96564885496183
01:34:00,29.188215488215487
01:35:00,34.440453074433655
01:36:00,27.42420341165111
01:37:00,26.40677458033573
01:38:00,27.03082414016872
01:39:00,27.72558627931397
01:40:00,25.63826863620749
01:41:00,24.187478500172
01:42:00,33.494650499286735
01:43:00,31.573024740622508
01:44:00,27.81243223707987
01:45:00,25.03937282229965
01:46:00,26.41228367831693
01:47:00,27.651693667157584
01:48:00,24.50136612021858
01:49:00,25.29008438818565
01:50:00,22.61486713757148
01:51:00,21.86832740213524
01:52:00,26.86187455954898
01:53:00,22.56234458259325
01:54:00,22.35475494969166
01:55:00,23.29701345585822
01:56:00,45.735013623978205
01:57:00,25.082871125611742
01:58:00,22.288536155202824
01:59:00,23.170378225521382
02:00:00,18.95313270843611
02:01:00,24.90094212651413
02:02:00,22.140717520027867
02:03:00,23.962332132328857
02:04:00,26.095927297206327
02:05:00,21.815043959622272
02:06:00,21.81483913328956
02:07:00,30.902033898305085
02:08:00,22.406142167011733
02:09:00,21.98708609271523
02:10:00,22.622147083685544
02:11:00,22.205376996159288
02:12:00,28.012448132780083
02:13:00,20.093489148580968
02:14:00,20.067495280050345
02:15:00,20.85631549917264
02:16:00,31.256457564575644
02:17:00,21.26781737193764
02:18:00,19.364710136193803
02:19:00,18.532167915328813
02:20:00,19.84018047969604
02:21:00,18.863563032956904
02:22:00,19.874213011542498
02:23:00,19.754088180500933
02:24:00,22.056085641144985
02:25:00,22.17036538892625
02:26:00,20.72762293224564
02:27:00,25.071353620146905
02:28:00,24.491854336368
02:29:00,21.92263473053892
02:30:00,22.781335007323708
02:31:00,28.99708454810496
02:32:00,26.967358358591746
02:33:00,24.726742882761712
02:34:00,23.948376547535624
02:35:00,22.683684794672587
02:36:00,19.03939064200217
02:37:00,20.10765997197571
02:38:00,20.984611851171337
02:39:00,22.03516237402016
02:40:00,22.39516515078985
02:41:00,22.65129682997118
02:42:00,20.67933655839668
02:43:00,19.073318385650225
02:44:00,17.970582580273025
02:45:00,12.675880820210716
02:46:00,15.977787600839871
02:47:00,15.563185443668994
02:48:00,15.241314671332168
02:49:00,16.076911850554584
02:50:00,19.204714938657684
02:51:00,22.11566771819138
02:52:00,21.69949419815531
02:53:00,23.25273224043716
02:54:00,21.9056875449964
02:55:00,28.186966072736148
02:56:00,20.51343193480229
02:57:00,21.708097395243488
02:58:00,27.8022477923468
02:59:00,19.378875724729014
03:00:00,21.335316148931483
03:01:00,19.576119402985075
03:02:00,20.29481196815811
03:03:00,20.542857142857144
03:04:00,19.68326458456099
03:05:00,20.822222222222223
03:06:00,24.880044223327804
03:07:00,22.615409207161125
03:08:00,19.985878489326765
03:09:00,23.86099942561746
03:10:00,21.615589804386484
03:11:00,24.855652173913043
03:12:00,24.581185967090967
03:13:00,25.20581509310683
03:14:00,19.24506329113924
03:15:00,20.75006577216521
03:16:00,20.266941015089163
03:17:00,22.753184713375795
03:18:00,19.13599026467904
03:19:00,18.482372691662004
03:20:00,22.97145144076841
03:21:00,25.56427293636596
03:22:00,18.95834445927904
03:23:00,20.721059972106
